"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","Change","Acres","Shape_Leng","Shape_Area","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.5742374774377,27.973559706712,"None",824650.807628391,1.21263447601039e-06,"None","Gain",15.0875874376,4322.17581928,657217.937649,"Old Tampa Bay","OTB",c(x = 470819.065945669, y = 1323527.08013932)
"2","Site-02","Base","None",-82.5914613595957,27.9764269100094,"None",824650.807628391,1.21263447601039e-06,"None","Gain",41.6891835919,11971.0582576,1815988.10121,"Old Tampa Bay","OTB",c(x = 465264.622596093, y = 1324596.03326034)
"3","Site-03","Base","None",-82.5956770633371,27.8735020436435,"None",824650.807628391,1.21263447601039e-06,"None","Gain",0.0590734158159,370.278351561,2573.24828577,"Old Tampa Bay","OTB",c(x = 463721.721665655, y = 1287182.67402445)
"4","Site-04","Base","None",-82.6485495435622,27.9305971117752,"None",824650.807628391,1.21263447601039e-06,"None","Gain",61.4335510053,10328.8573397,2676056.18599,"Old Tampa Bay","OTB",c(x = 446749.811430839, y = 1308027.25988445)
"5","Site-05","Base","None",-82.5886012924669,27.9779092620168,"None",824650.807628391,1.21263447601039e-06,"None","Gain",41.6891835919,11971.0582576,1815988.10121,"Old Tampa Bay","OTB",c(x = 466190.363154355, y = 1325130.50982085)
"6","Site-06","Base","None",-82.5902766097589,27.8463282312831,"None",824650.807628391,1.21263447601039e-06,"None","Gain",0.208561286551,728.059866268,9084.96598158,"Old Tampa Bay","OTB",c(x = 465418.912689136, y = 1277294.85765497)
"7","Site-07","Base","None",-82.6500137335502,27.9357355065855,"None",824650.807628391,1.21263447601039e-06,"None","Gain",14.3739822699,3277.5784534,626133.172208,"Old Tampa Bay","OTB",c(x = 446286.941151708, y = 1309897.92784624)
"8","Site-08","Base","None",-82.5622303945114,27.9625836144752,"None",824650.807628391,1.21263447601039e-06,"None","Gain",18.8085569286,7708.02185173,819304.017022,"Old Tampa Bay","OTB",c(x = 474676.318271763, y = 1319518.50593547)
"9","Site-09","Base","None",-82.5871632680485,27.9771803645623,"None",824650.807628391,1.21263447601039e-06,"None","Gain",41.6891835919,11971.0582576,1815988.10121,"Old Tampa Bay","OTB",c(x = 466653.233433487, y = 1324863.2715406)
"10","Site-10","Base","None",-82.549216910318,27.8464977573344,"None",824650.807628391,1.21263447601039e-06,"None","Gain",0.564926722252,2983.27098152,24608.3064546,"Old Tampa Bay","OTB",c(x = 478687.860690901, y = 1277294.85765497)
"11","Site-11","Base","None",-82.6519073803717,27.9327863856169,"None",824650.807628391,1.21263447601039e-06,"None","Gain",61.4335510053,10328.8573397,2676056.18599,"Old Tampa Bay","OTB",c(x = 445669.780779533, y = 1308828.97472522)
"12","Site-12","Base","None",-82.60196119641,27.9734411994573,"None",824650.807628391,1.21263447601039e-06,"None","Gain",0.0649453122068,507.806117357,2829.02911639,"Old Tampa Bay","OTB",c(x = 461870.240549129, y = 1323527.08013932)
"13","Site-13","Base","None",-82.5482695871194,27.942793641948,"None",824650.807628391,1.21263447601039e-06,"None","Gain",9.77671483801,6928.67300661,425875.401842,"Old Tampa Bay","OTB",c(x = 479150.730970033, y = 1312303.07236855)
"14","Site-14","Base","None",-82.653336389718,27.9320445711113,"None",824650.807628391,1.21263447601039e-06,"None","Gain",61.4335510053,10328.8573397,2676056.18599,"Old Tampa Bay","OTB",c(x = 445206.910500401, y = 1308561.73644496)
"15","Site-15","Base","None",-82.6335106668584,27.8917096635775,"None",824650.807628391,1.21263447601039e-06,"None","Gain",1.14572208229,1470.66250614,49907.8535355,"Old Tampa Bay","OTB",c(x = 451532.804315196, y = 1293863.63103086)
